n;d;t;c
500;8.806502664902508e-06;141375;892
500;1.3663908374523844e-05;135134;831
500;2.419931002677484e-08;141125;880
500;5.474958841034414e-06;139882;875
500;7.251988419444418e-06;154539;877
500;6.772179069618855e-07;136166;817
500;8.823802308344765e-08;140423;867
500;5.262164926306677e-06;135624;838
500;1.2739344489071056e-06;136726;848
500;1.079499539728719e-06;135924;848
500;2.8493513692601563e-06;153938;863
500;2.3748947137999207e-06;139661;853
500;8.042289123034702e-07;136356;838
500;3.557765424521025e-06;142617;897
500;2.3663788912271556e-07;140483;873
500;4.488310170776735e-07;137508;850
500;4.118819700138623e-09;135343;833
500;3.4148045094090094e-06;153908;872
500;1.9171299940416037e-06;140614;873
500;1.5385997451193307e-07;142276;901
500;1.393480006872104e-05;154088;884
500;2.6746058936030822e-06;141856;869
500;2.1295443183256913e-05;142587;889
500;4.449472170440351e-06;154740;869
500;2.952457588170699e-07;141214;874
500;4.081020035937669e-06;136356;854
500;5.386867600556614e-06;136485;842
500;3.5211486064308187e-06;141675;897
500;6.5058999570131565e-06;139912;893
500;4.848228111604326e-06;138550;859
500;5.1444966039985306e-08;154890;869
500;6.130361436605538e-06;141806;878
500;1.5934590109826012e-06;137978;847
500;2.3893056245161783e-06;137357;861
500;2.6728003893316056e-07;136306;832
500;1.6694174451223178e-06;136366;823
500;4.051108604331329e-06;151023;864
500;1.2741707179118763e-06;140964;864
500;2.8713438303363046e-06;139812;875
500;5.110302031682613e-06;138019;856
500;5.196591868263896e-07;137127;844
500;4.073517749968453e-06;137708;852
500;4.326179413625805e-07;136857;853
500;3.4808065708796917e-06;153498;868
500;2.3778115488257905e-06;143469;887
500;7.451172544291831e-06;136767;851
500;4.198736254622809e-07;139591;866
500;2.723496569485527e-06;137097;849
500;1.5068773729533851e-06;150723;847
500;1.3615635141897036e-05;140343;874
500;2.0286747860338885e-06;148959;854
500;3.172829782206203e-06;138360;860
500;1.304214509019025e-07;138650;854
500;3.988911114286017e-06;135524;829
500;7.302574194935893e-07;135665;841
500;4.3582012038367045e-06;138018;849
500;1.1406462890446274e-06;158177;915
500;4.70310305727525e-06;140323;861
500;1.753186647655482e-06;143109;887
500;4.9703325147377975e-06;139151;864
500;2.4236675599741785e-06;141054;877
500;1.9859448873781792e-06;141976;883
500;2.111541231956551e-07;139111;856
500;5.681907643504609e-07;143238;880
500;4.038468704996351e-06;173665;872
500;1.7423970421485214e-06;140433;861
500;2.3324442869700846e-06;140033;883
500;2.8085533325413e-08;139251;878
500;2.724740059318427e-06;139160;867
500;3.909155993725257e-06;181229;858
500;2.2359269006766522e-05;146594;893
500;6.945049631848628e-06;141305;880
500;3.500078835466505e-06;138310;853
500;2.742372598317041e-06;139511;871
500;1.3892707935106167e-06;136415;852
500;4.697462430719341e-06;187622;863
500;2.6482746724695766e-06;138740;845
500;4.021653383107538e-06;140433;893
500;3.2300968701108856e-06;139632;860
500;1.750641394086583e-06;136226;846
500;1.865958247091284e-06;138409;861
500;6.138882575511367e-07;144100;899
500;9.042271466948434e-07;152145;878
500;1.4262689858814677e-07;146685;892
500;2.6385278749568816e-06;145442;874
500;2.181286929250264e-06;144751;867
500;2.35188707207641e-07;146304;876
500;1.8160507043606806e-06;142216;852
500;2.537100637871236e-06;162604;873
500;5.083345125250118e-06;149450;889
500;7.484873538417206e-06;146414;869
500;1.6471280443921614e-06;140113;829
500;2.0875567705556555e-06;141786;854
500;6.053702780638569e-07;143059;844
500;3.1384807029792728e-06;470041;855
500;2.5000193064355404e-07;146524;864
500;2.003941485520795e-07;140583;875
500;2.5375428022851544e-06;143829;882
500;5.721567090936887e-06;162285;855
500;2.343800382935203e-06;148428;879
500;2.090107852857294e-06;146915;879
500;1.463202069736747e-06;145923;884
500;9.989440356317434e-06;146214;878
500;1.1257531943773042e-06;143469;881
500;1.3021301324614807e-06;163296;830
500;6.5830454254067506e-06;147025;870
500;1.7021813333319492e-06;143989;875
500;4.8700013252835625e-06;143179;866
500;6.931526102298451e-06;144441;881
500;6.532862248470261e-07;148879;908
500;2.453546888685062e-07;147536;892
500;4.799967285848126e-07;160270;847
500;2.325905152238354e-07;157916;883
500;7.640905350152515e-08;175078;893
500;4.435495579328052e-06;143278;868
500;1.0480173759295231e-06;151725;846
500;1.7067381607832313e-06;138038;846
500;3.07676685769905e-06;152736;842
500;9.038877900039057e-06;139992;845
500;6.123559574220456e-06;138400;847
500;9.631931353160452e-06;143519;897
500;4.761029191881987e-06;140654;876
500;5.461088006090322e-06;142127;905
500;1.8221187030184264e-06;153448;870
500;6.34150476423797e-07;188012;881
500;2.3425384817271047e-06;140003;856
500;1.2840689747076166e-06;141806;895
500;2.6386809630538437e-06;136696;837
500;1.061320136741699e-06;136626;846
500;9.848674865456773e-06;150743;856
500;7.193699229610796e-07;141415;877
500;1.4893827079657149e-05;138449;844
500;3.011453025532411e-06;139241;869
500;5.962419464080165e-07;136967;847
500;1.2188896776325512e-05;141996;862
500;3.3962753538819665e-06;138520;878
500;2.7863681682083556e-06;152115;859
500;1.5605617885587629e-06;140053;869
500;3.778902268813805e-06;140434;878
500;9.63336156521844e-06;141105;892
500;2.93544147673491e-06;137809;861
500;1.545166965036925e-06;137308;848
500;1.688829693500414e-06;140313;872
500;5.1379449086056356e-06;153829;849
500;6.471431498161269e-06;137868;831
500;1.0731314467871971e-06;137929;867
500;3.974992798960928e-06;139532;856
500;1.047045682447007e-06;141676;876
500;2.330601764393196e-06;137588;851
500;3.6160339710145138e-06;154069;874
500;2.884589013345873e-06;147767;918
500;7.34430245742534e-07;136135;854
500;2.838168329121348e-06;140674;882
500;2.940686582869643e-06;140283;868
500;2.745347237709861e-06;138850;860
500;3.156396436964007e-06;138530;860
500;3.4450981835571238e-06;151423;835
500;1.6636023686550055e-06;144981;894
500;1.0424575289035125e-06;138990;865
1000;8.752763611649661e-07;342181;1761
1000;1.2747872241363332e-06;303269;1708
1000;4.442313830181209e-07;293731;1741
1000;1.538984299543746e-06;291086;1737
1000;1.911236152394514e-06;315201;1803
1000;1.1513258824122577e-06;296235;1761
1000;7.983035099138498e-07;292749;1741
1000;9.513347595588191e-07;331782;1743
1000;8.823640685382207e-07;299381;1726
1000;9.062037893172148e-08;288140;1732
1000;2.3979612609962224e-06;306595;1753
1000;9.650628170461163e-07;292559;1705
1000;1.6126954463735254e-07;287659;1698
1000;2.1655775473603974e-07;304571;1702
1000;1.1952358023468675e-06;331992;1759
1000;1.1686910177081594e-06;290264;1708
1000;4.2203648238483077e-07;288020;1695
1000;6.873592831542984e-07;295164;1744
1000;6.246575466112143e-07;297979;1768
1000;1.3717150370575279e-06;290164;1727
1000;4.023573992427254e-06;305923;1703
1000;2.1071908919962828e-07;300994;1702
1000;1.1666023307757885e-06;292448;1732
1000;7.017348931677889e-08;307897;1740
1000;2.2485925263847903e-06;291256;1709
1000;1.0775547181702078e-06;288671;1714
1000;1.1344382101919213e-07;306986;1725
1000;1.276639143952101e-07;292108;1736
1000;1.4079072153992977e-07;291937;1717
1000;1.5507734789790296e-07;311784;1722
1000;7.02256930854238e-08;292539;1717
1000;7.914925887233177e-07;289313;1692
1000;5.163221770810171e-07;307707;1763
1000;1.2835744784055084e-06;291246;1707
1000;4.0443793792906716e-07;653435;1705
1000;1.8605653548263073e-07;299291;1710
1000;3.0534209227553264e-07;303048;1722
1000;2.8479381720586285e-06;310041;1710
1000;1.8791765870936368e-07;294462;1728
1000;2.4517381690212394e-06;300613;1742
1000;1.4627831989790314e-06;310973;1718
1000;3.7446288303611643e-07;295334;1731
1000;7.157825146348822e-07;292639;1735
1000;1.0780128772730124e-06;305092;1731
1000;2.813155820322401e-06;329638;1727
1000;5.43547082045752e-07;298119;1767
1000;8.932766717126957e-08;317806;1703
1000;5.71951022428333e-07;297748;1736
1000;2.935559442962636e-07;296546;1754
1000;9.531863599392762e-08;307256;1744
1000;1.0898591999093115e-06;297247;1766
