n;d;t;c
500;0.00012855962015267952;511659;7233
500;1.4055594905471036e-05;652373;7251
500;0.00039379898406066705;513072;7283
500;0.00023308346141470704;529934;7283
500;0.00014064889136838898;537317;7283
500;9.989157182310748e-06;805399;7283
500;1.9862130106296227e-05;539998;7237
500;6.827000504094904e-05;550722;7245
500;3.6343065188848556e-05;524544;7249
500;0.0001199221123808214;528792;7250
500;9.102365240243326e-05;523060;7283
500;2.2365384983125125e-05;527589;7283
500;6.248649627449421e-05;513082;7283
500;3.023024879184044e-05;525014;7241
500;6.069777643352703e-05;511399;7220
500;3.936336932952589e-05;524984;7241
500;0.00029436485208633734;516388;7283
500;1.5092259312399214e-05;534963;7251
500;0.00014075238343302932;521567;7283
500;0.0001410919941413069;533190;7283
500;2.8864603889011686e-05;515907;7283
500;0.00017245613035099527;960657;7242
500;9.746906366048247e-05;536747;7241
500;3.4382466014670765e-05;594244;7249
500;0.00011010119763865678;508994;7256
500;0.000240915905373007;677611;7228
500;8.289324791910246e-05;683812;7283
500;5.008362987002357e-05;638096;7283
500;8.632560139004708e-05;676869;7256
500;2.8505206158269125e-05;705236;7283
500;4.784732967777483e-05;589585;7283
500;0.0005014038062673976;536446;7265
500;0.0002886431662550981;520987;7265
500;7.329537207245718e-05;530855;7241
500;2.5860592262838544e-05;514875;7245
500;0.00017451719047145708;511229;7250
500;1.3890386476256289e-05;537758;7283
500;0.0002593471586909146;978785;7265
500;5.641759679986258e-06;531687;7283
500;0.00012570412071599701;541355;7267
500;2.926626861177173e-05;512191;7241
500;0.00013593945043832711;525455;7237
500;9.085820196352845e-05;515346;7237
500;6.469586970103691e-05;526156;7245
500;7.09908876292964e-05;517681;7283
500;0.00025007832856899226;541495;7283
500;4.0308941875344395e-05;557468;7283
500;1.6697089597950132e-05;653174;7283
500;0.00014922430562969158;563166;7283
500;7.130652692022288e-05;512591;7267
500;5.76276256534225e-05;552306;7256
500;0.00014894366437345763;523191;7249
500;0.00023036816227284262;561122;7250
500;3.717761409871567e-05;877713;7283
500;4.579958637795922e-05;514184;7283
500;0.00010808928787864325;539722;7233
500;3.947434458595467e-05;524603;7233
500;0.00021646879132064534;513302;7283
500;0.00036299328351269144;556033;7250
500;0.00011550829600143198;520566;7242
500;0;527650;7283
500;8.822416596121485e-05;506469;7233
500;0.0001384658800397398;529622;7283
500;8.837724843613337e-05;511599;7265
500;6.791709279840852e-05;531296;7283
500;0.00023645313621722952;514324;7251
500;0.00013068057195803062;531737;7283
500;0.00023899181344855247;516037;7283
500;2.23854819187963e-05;527269;7283
1000;6.612142898820839e-06;1739352;14637
1000;0.00010996135120699968;1468473;14671
1000;7.496731292799819e-05;1505182;14671
1000;9.33508738409361e-05;1382803;14630
1000;1.8050897715560232e-05;1350753;14671
1000;0.0001382087360527473;1083581;14671
1000;2.0285008108356095e-05;1062522;14616
1000;9.592313730460988e-05;1059346;14653
1000;0.00012360608167749643;1407484;14671
1000;1.7880556729688024e-06;1076398;14653
1000;5.182142598408879e-05;1082339;14639
1000;7.56012638907233e-05;1048035;14616
1000;8.35703873475202e-05;1061700;14653
1000;1.535059130852723e-05;1048275;14633
1000;3.0776931889631154e-05;1049317;14653
1000;0.00019411668917768132;1095223;14633
1000;2.6108988834372404e-05;1476393;14653
1000;5.470818395081345e-06;1046862;14608
1000;1.7533954376203198e-05;1053966;14625
1000;8.179793476004171e-06;1153362;14671
1000;5.6410254241190394e-05;1076288;14621
1000;3.1022322569129734e-05;1086466;14671
1000;5.777003166329564e-05;1086297;14644
1000;2.8271168098781274e-06;1056781;14653
1000;2.303807135561886e-05;1514074;14639
1000;2.5430776306345493e-05;1044037;14616
1000;8.523578031827128e-06;1050670;14671
1000;1.8308002814881874e-05;1095544;14655
1000;2.0487628924981127e-05;1124788;14633
1000;0.00016330964876665188;1206693;14671
1000;9.85059035935043e-06;1213746;14671
1000;1.044740844191594e-05;1113929;14639
1000;3.0524918024354974e-06;2164217;14671
1000;4.660740403839014e-06;1523336;14629
1000;7.176414794562991e-05;1524789;14608
1000;0.0001366230241908184;1132453;14608
1000;1.799900587629022e-06;1059506;14625
1000;9.8884196568505e-05;1078803;14625
1000;4.1182385693339096e-05;1067491;14654
1000;6.438753290183286e-05;1092228;14629
1000;3.862020643841113e-06;1427186;14671
1000;6.0753373932298516e-05;1058484;14671
1000;1.4005188646581956e-06;1045570;14621
1000;9.935343975275845e-05;1090975;14653
1000;2.2806292861998756e-05;1065828;14608
1000;4.2603648167272024e-05;1180183;14629
1000;7.421247394001629e-06;1143203;14633
1000;2.187537162334774e-05;1066740;14621
1000;6.147381186216716e-05;1545728;14630
1000;0.0001265007635820048;1087809;14629
1000;2.9555242967882478e-05;1058945;14671
1000;1.410432742487977e-06;1092398;14625
1000;2.6228530286442897e-05;1095674;14654
1000;4.291665465006034e-05;1073303;14653
1000;1.0902087757891366e-05;1074945;14608
1000;4.456287009890758e-05;1063063;14671
1000;8.567883036292301e-05;1388984;14633
1000;2.337549600250899e-05;1042855;14608
1000;0;1040390;14625
1000;1.076026337770708e-05;1064145;14653
1000;8.063376146671963e-06;1105613;14671
1000;8.338986144607041e-06;1049488;14644
1000;7.381622117996756e-07;1060008;14671
1000;2.1260793363397923e-05;1045991;14616
1000;1.1635928418129993e-05;1251717;14629
1000;4.263109522351094e-05;1083491;14671
1000;3.347931008418348e-05;1080135;14630
1000;0.0002320610122648059;1043797;14671
1000;6.501541982295578e-05;1041443;14616
1000;2.614126893235591e-05;1061400;14671
1000;9.70148136181237e-06;1056441;14671
1000;0.00018889909111530212;1127965;14671
1000;4.256694259152649e-05;1176606;14671
1000;6.077692600903184e-05;1057522;14671
1000;3.225994666689047e-05;1047083;14639
1000;4.949797674513867e-07;1047935;14671
1000;7.706276547669866e-06;1068022;14637
1000;3.426386386662372e-05;1043015;14629
1000;7.92597424092989e-05;1102888;14629
1000;1.4161042934057733e-05;1163140;14644
1000;5.5576340548313397e-05;1258655;14630
1000;1.424080910911174e-05;1044588;14608
1000;1.3399758958088093e-05;1091516;14633
1000;1.3235565647917724e-05;1055419;14653
1000;6.233015404077946e-05;1064576;14629
1000;2.9328633893876965e-05;1068614;14671
1000;2.1366311990456133e-05;1059477;14671
1000;4.165063622718623e-05;1296831;14625
1000;1.972327862032053e-06;1166152;14621
1000;8.596271323241256e-05;1066329;14671
1000;8.842634694361529e-06;1049017;14671
1000;6.60218860423778e-05;1082900;14671
1000;9.84532841122876e-05;1052353;14654
1000;1.1345224625980421e-05;1049607;14637
1000;2.8744002138647584e-05;1049648;14655
1000;1.0359194915265935e-05;1376724;14629
1000;4.426896543141545e-05;1106616;14616
1000;5.397810272311787e-06;1071077;14671
1000;4.8877813099590384e-05;1051902;14671
1000;1.5740036548361758e-05;1073918;14671
1000;9.567021237111284e-06;1064055;14644
1000;5.7642060475648904e-05;1054667;14637
1000;0.00012235302124768976;1071298;14671
1000;5.4670435715553634e-05;1483756;14616
1000;6.868154465622389e-05;1142548;14671
1000;2.248074924915411e-05;1055078;14616
1000;2.81010346595556e-05;1056711;14637
1000;4.548092177286689e-05;1053044;14671
1000;0;1063294;14653
1000;1.4094250384455442e-05;1057953;14629
1000;3.7264929412472725e-05;1070197;14653
1000;4.417594413164139e-05;1298850;14671
1000;2.3682920910150784e-05;1197861;14639
1000;2.358622584358594e-05;1125981;14629
1000;1.3273437049043935e-05;1046692;14637
1000;2.4893090467270618e-05;1123270;14671
1000;7.029090375643143e-06;1062632;14655
1000;9.992187724239265e-06;1088811;14653
1000;0.0001322429291275018;1062061;14671
1000;4.7843611471698466e-05;1207924;14633
1000;6.957746971847367e-05;1050309;14621
1000;5.49754145958703e-05;1075046;14629
1000;2.9874109381988756e-05;1060599;14653
1000;1.9492954065780665e-05;1048145;14637
1000;4.872706097514001e-05;1049097;14653
1000;2.6683710960873075e-05;1055098;14671
1000;0.00018235771651087251;1073382;14671
1000;6.738395002103825e-05;1314725;14625
1000;9.240340737626251e-06;1069505;14644
1000;2.0511454446592303e-06;1044489;14621
1000;1.5399963876117084e-05;1074875;14621
1000;5.26229810979828e-05;1079715;14630
1000;1.0517405995891238e-05;1069986;14671
1000;3.902610652173344e-05;1040030;14616
1000;6.919952378664496e-05;1048185;14655
1000;3.4948557607550335e-05;1308734;14671
1000;0.00012279549267102396;1120541;14637
1000;1.479581628049953e-06;1051532;14608
1000;5.333888318403979e-05;1055879;14608
1000;3.070805745042371e-05;1079674;14671
1000;2.7352512157463593e-06;1050049;14644
1000;4.8915147814854176e-05;1073923;14671
1000;8.89199408035668e-05;1048696;14653
1000;1.7098402839921256e-05;1558112;14608
1000;4.04575813484076e-05;1062201;14639
1000;1.8530048091491835e-05;1067211;14671
1000;5.0763572672085644e-05;1047644;14638
