n;d;t;c
500;0.0012139414117969239;543689;4912
500;0.0012868998488806225;540403;4889
500;0.0011114061040304402;485410;4457
500;0.0014647193194136713;980344;5073
500;0.0008582722065515757;639523;4932
500;0.0007601594457510442;497633;4523
500;0.0007429268626137561;483706;4122
500;0.0014573084081169114;517250;4765
500;0.0013043106371159042;557124;5076
500;0.0017192552309541346;570790;4800
500;0.00194540577239817;559419;5119
500;0.0008490178528011577;501260;4634
500;0.00040112001996015216;501389;4532
500;0.0015042540507954213;530154;4680
500;0.0005001434350818204;487203;4512
500;0.0012395064081978516;535934;4893
500;0.002573124503803019;569588;5402
500;0.002311977009162427;536606;4918
500;0.001107939514756756;517561;4828
500;0.0006458063373302806;510016;4252
500;0.0007480675043702305;508683;4611
500;0.0008780411773771957;536916;4827
500;0.00014455892688221053;466965;4262
500;0.0019333619070554132;499447;4476
500;0.0003854357932172493;569988;4957
500;0.00039746914329170816;513894;4608
500;0.0017311272115477798;527509;4893
500;0.0008026413863587052;468228;4113
500;0.0009157633809217184;841938;4927
500;0.0015975243211120845;526016;4519
500;0.0020794399763872295;532157;4479
500;0.0016025816918474325;549279;4870
500;0.000818160536280553;503645;4523
500;0.0013239098541358478;508683;4759
500;0.001874689047785719;548708;5006
500;0.000835325426422212;522430;4614
500;0.0015585313146068442;490380;4495
500;0.0014020224894286594;491030;4398
500;0.0010829092087809309;471043;4346
500;0.0007784592706884304;522449;4725
500;0.0009633236456740684;510296;4770
500;0.0014906772365520977;563326;5201
500;0.0011134768577520467;501290;4595
500;0.002243648726885704;612028;5671
500;0.001047797685004205;486221;4498
500;0.0009139801966768477;517230;4384
500;0.001806607783170285;521427;4670
500;0.0012269085362579984;617267;5222
500;0.001188967221611136;548879;4938
500;0.000844993153005392;553277;5021
500;0.0002636246263771967;534231;4783
500;0.0013564561127498533;474260;4365
500;0.0014181735214312617;513603;4488
500;0.0020013924998408786;992597;4764
500;0.0018165356190107315;527780;4875
500;0.001226895806030588;568199;5005
500;0.000772198783596384;526958;4898
500;0.0013065537931719253;576580;5053
500;0.0017391047101043954;584927;5361
500;0.002559761710529291;516949;4855
500;0.001186593732801383;513994;4600
500;0.0015543037010821755;567804;5029
500;0.0008102389417979971;479209;4262
500;0.0007075934183127857;509025;4732
500;0.0027429880303192953;633197;5154
500;0.001583042568964219;477575;4400
500;0.0010667525563177855;515497;4546
500;0.0008449184089878161;487825;4386
500;0.0006813474120322751;527910;4499
500;0.0006301786293986684;675727;4834
500;0.0011046761646598317;678743;4667
500;0.0020194656631291217;702247;4775
500;0.0005043272023688048;659136;4745
500;0.0011710920256433586;529202;4859
500;0.0004763766811685379;482464;4207
500;0.0014593996420968684;611397;4772
500;0.0014215664053037385;523061;4666
500;0.0017302117780734461;741233;4957
500;0.0003725343421799724;705737;4390
500;0.0021859948206891895;571778;5009
500;0.0019004122928105867;597931;5278
500;0.0018427928078602735;519033;4796
500;0.0002635781757721035;525015;4361
500;0.0012156354645428567;561122;5243
500;0.0009056589539957298;540123;4881
500;0.0016276682932866915;512170;4673
500;0.0015635955480559833;506530;4579
500;0.00016609486535508114;467647;4305
500;0.0011999448329936496;548819;4871
500;0.00029908319608395735;500177;4507
500;0.0005800014337761044;505157;4471
500;0.0019639387811103315;525845;4867
500;0.0003265674237205567;519133;4487
500;0.0018179004100845324;541545;5057
500;0.0004908471459067594;541435;4789
500;0.00245332999266529;636683;5471
500;0.0008016452144443161;616716;4898
500;0.0007455682435185463;669388;4630
500;0.0006438425220337318;709470;4386
500;0.0003735304059356244;649177;4565
500;0.0009831292439274508;665671;4552
500;0.000430084405940194;908731;4795
500;0.00033663804290044784;1014351;4785
500;0.0016540785933971316;541325;4881
500;0.0013461922068877786;502913;4680
500;0.0007173441345808935;532678;4860
500;0.0005227133208833361;465192;4256
500;0.00023630704123725832;530304;4802
500;0.00023233965751670723;504847;4688
500;0.0004782114370631406;488636;4355
500;0.002207714718933822;526417;4947
500;0.0010270101740705755;544721;4953
500;0.000359621645655561;505288;4692
500;0.000997268638230636;648061;4457
500;0.000948010749119056;590587;4415
500;0.0018355781796515385;525755;4900
500;0.0011553981115119977;545092;4856
500;0.0008127702787783657;545372;4710
