n;d;t;c
500;0.0006817147275184267;526667;4936
500;0.00030910856609062923;539552;4836
500;0.00022447263612580424;475421;4318
500;0.0009485895923032978;538830;4362
500;0.0002389765414114005;496841;4541
500;0.0006972780904642327;507021;4547
500;0.0019244255005852141;922009;4887
500;0.0012131385649759973;534432;5000
500;0.00015090368803107534;513437;4522
500;0.0012313759006592942;547947;4789
500;0.0011404868181983687;528220;4656
500;0.00046267450301397373;478938;4406
500;0.000991949918553573;514855;4586
500;0.0023764487893094444;636653;5288
500;0.001178488518339565;507762;4738
500;0.001780428727993806;544170;4937
500;0.00031775069852919634;515206;4797
500;0.0006745472866893742;535193;4848
500;0.0006114532837310141;526577;4961
500;0.0007308472337264052;553347;5027
500;0.0008370492421811737;474590;4367
500;0.0021124578730626004;554810;4890
500;0.00120721020059343;551824;5196
500;0.0011950346088576266;578505;5253
500;0.00045227558082474895;498635;4441
500;0.0016066355390116414;547746;4797
500;0.0015621488967878354;568676;5135
500;0.00039815010674981943;469369;4298
500;0.0008868452723580325;483817;4277
500;0.001213450933188343;547736;5151
500;0.000626967720471147;591889;4770
500;0.0011963566892097663;828002;4935
500;0.0002430434736194233;473578;4349
500;0.001635772876672612;539191;4627
500;0.0010103205823711913;522069;4824
500;0.0012498733412705063;528952;4588
500;0.0004147007507502547;490700;4539
500;0.00029793247194596976;482935;4144
500;0.0019713179907163785;580919;5539
500;0.001501425833529919;559880;4596
500;0.00157521309284126;530274;4960
500;0.001095233592405924;666234;4809
500;0.0009843775089487443;483817;4269
500;0.0005326569945396355;482926;4483
500;0.0018905432206713466;551755;4984
500;0.001125654628696436;519875;4807
500;0.0004121634452596843;504856;4520
500;0.0018986596095265423;493385;4547
500;0.0004487485161876924;490840;4250
500;0.0007548095918545555;452278;4087
500;0.0007511849057115057;503164;4475
500;0.0009446561460351415;533350;5016
500;0.0019442221662383978;521698;4652
500;0.0007856180649612767;498485;4643
500;0.0008529424741275312;559329;5066
500;0.0019935837589736194;513463;4776
500;0.00019412894236555038;803036;4244
500;0.00017425731595312047;586960;4655
500;0.0007067768226847555;474610;4065
500;0.0007415685179884521;493465;4306
500;0.0022645750446644757;521548;4843
500;0.0012801853948459384;561306;4628
500;0.00019129197203960723;525676;4930
500;0.0008541590717993396;549821;4866
500;0.0010990905508074958;533610;4736
500;0.0019318428159552032;572022;5434
500;0.00043257344287969104;539261;4739
500;0.0008644593208729454;465763;4289
500;0.0009265705396098813;712421;5147
500;0.0018191400690220243;690915;4707
500;0.0009193363609399013;556664;5138
500;0.0020651473372598796;563907;5001
500;0.0010904482909259575;534372;4986
500;0.0022624686618264783;551714;4934
500;0.001196359833651924;488195;4514
500;0.00037349569316227075;519764;4321
500;0.00042133243076381634;494958;4532
500;0.0011703958341846672;532859;4831
500;0.002061023422349061;516428;4844
500;0.0005878054630580846;530184;4762
500;0.0014030485716611774;484929;4402
500;0.0013323724257695768;958320;4563
500;0.0006384447580303097;508864;4479
500;0.0005777964934579303;569899;4415
500;0.001709095393252898;586530;5224
500;0.0010524259548186589;577473;5192
500;0.0010274518391354091;475872;4390
500;0.0014085516740668916;506860;4527
500;0.0014958245870232692;520165;4824
500;0.0010304812102647455;503995;4491
500;0.0012535776274552888;514054;4732
500;0.0006258184689875404;481061;4217
500;0.0008680387426066618;502182;4673
500;0.001413486100833346;543539;4722
500;0.002421899729703262;581440;5305
500;0.0012065516130173649;702688;5129
500;0.002039216419816533;629440;5269
500;0.0012142201703307163;723169;4470
500;0.0023279568638026257;871705;5348
500;0.0013505779348829228;1289672;4576
500;0.0008231841130401479;648937;4572
500;0.0018798041455815636;693540;5007
500;0.0015986541457477716;787226;4664
500;0.0003963277345562615;653675;4515
500;8.656818318393897e-05;584345;4228
500;0.0024920026611827445;920005;5038
500;0.0002697138835413522;1100775;4975
500;0.0008367817268771314;641703;4456
500;0.0007880064309581746;708718;4879
500;0.0009976030727830325;565550;4850
500;0.0006715784279151517;491722;4364
500;0.00048826949933650796;509395;4739
500;0.001249561833618256;510417;4594
500;0.0016691656450143583;568185;5145
500;0.0014860054310851375;591419;4948
500;0.0007181207701929335;626357;4907
500;0.00131523117674827;570129;4678
500;0.0006252594776259465;578755;4302
500;0.0008975869353949439;678292;4693
500;0.0006150599322600274;540934;4359
500;0.0008267968858682158;652057;5049
500;0.0006117365414208712;520436;4382
500;0.0023879647543270065;703608;5042
500;0.0008054664360047504;602626;4001
500;0.001535983967294806;543890;4747
500;0.0006726603122362459;656120;4855
500;0.0012642652988062275;536085;4231
500;0.0003816320414773254;687218;4871
500;0.000728604135301467;737192;4763
500;0.0018600884634660108;757019;5258
500;0.0007909578345662718;949537;4363
500;0.0012622651335078632;897791;4963
500;0.0005758823580297512;751599;5049
500;0.0007373174969050289;670767;4604
500;0.0010583348155318386;759434;5447
500;0.0014757720848533505;715842;4768
500;0.0008073769275091252;673983;4901
500;0.0018198076197475633;776175;5148
500;0.0008900842482331814;761598;5215
500;0.0023253024632198123;491521;4543
500;0.0008211495340750415;503875;4474
500;0.0011176715510701663;771362;5577
